# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  41 808.458 664.81 328.604
  42 828.458 656.458 322.157
  43 848.458 649.875 319.131
  44 868.458 648.295 317.408
  45 888.458 651.825 316.233
  46 908.458 659.958 315.614
  47 928.458 664.925 313.889
  48 948.458 661.116 313.079
  49 968.458 654.224 312.609
  50 988.458 649.734 311.892
  51 1008.46 649.792 311.165
  52 1028.46 654.7 310.935
  53 1048.46 661.751 310.94
  54 1068.46 663.474 310.694
  55 1088.46 659.185 310.024
  56 1108.46 652.399 309.465
  57 1128.46 649.058 309.163
  58 1148.46 651.429 308.546
  59 1168.46 656.853 308.199
  60 1188.46 662.331 308.313
  61 1208.46 662.954 306.975
  62 1228.46 657.175 307.287
  63 1248.46 650.55 307.772
  64 1268.46 649.356 307.358
  65 1288.46 651.881 307.627
  66 1308.46 659.442 307.572
  67 1328.46 663.159 306.756
  68 1348.46 662.345 306.582
  69 1368.46 654.736 306.418
  70 1388.46 649.303 306.398
  71 1408.46 649.497 305.789
  72 1428.46 654.666 305.447
  73 1448.46 661.989 304.114
  74 1468.46 663.536 304.306
  75 1488.46 660.517 303.816
  76 1508.46 651.531 303.578
  77 1528.46 648.4 302.941
  78 1548.46 649.812 302.478
  79 1568.46 656.861 302.894
  80 1588.46 664.246 302.403
  81 1608.46 664.988 302.283
  82 1628.46 656.311 301.7
  83 1648.46 649.721 302.119
  84 1668.46 648.21 301.594
  85 1688.46 650.529 302.142
  86 1708.46 659.001 301.509
  87 1728.46 667.848 301.568
  88 1748.46 662.685 301.408
  89 1768.46 653.116 300.993
  90 1788.46 648.646 300.577
  91 1808.46 648.233 299.958
  92 1828.46 652.928 299.853
  93 1848.46 664.053 299.162
  94 1868.46 667.91 299.178
  95 1888.46 658.847 299.45
  96 1908.46 649.934 298.755
  97 1928.46 648.116 298.369
  98 1948.46 648.79 298.175
  99 1968.46 655.98 297.585
  100 1988.46 668.242 296.859
  101 2008.46 666.475 296.183
  102 2028.46 653.988 296.239
  103 2048.46 648.508 296.049
  104 2068.46 648.055 296.302
  105 2088.46 650.295 296.532
  106 2108.46 658.351 296.126
  107 2128.46 669.469 296.089
  108 2148.46 664.237 294.822
  109 2168.46 651.241 294.194
  110 2188.46 648.357 293.687
  111 2208.46 648.422 292.795
  112 2228.46 653.249 292.339
  113 2248.46 663.522 290.862
  114 2268.46 667.67 290.82
  115 2288.46 658.821 290.492
  116 2308.46 650.058 289.519
  117 2328.46 648.324 288.453
  118 2348.46 649.797 287.203
  119 2368.46 658.001 285.359
  120 2388.46 665.2 282.738
  121 2408.46 663.652 277.711
  122 2428.46 655.719 283.563
  123 2448.46 649.485 286.557
  124 2468.46 648.405 288.696
  125 2488.46 652.362 288.936
  126 2508.46 660.824 290.215
  127 2528.46 665.257 290.92
  128 2548.46 660.778 291.427
  129 2568.46 653.458 292.594
  130 2588.46 649.086 292.752
  131 2608.46 649.485 293.315
  132 2628.46 655.859 293.811
  133 2648.46 663.786 293.818
  134 2668.46 662.524 294.802
  135 2688.46 657.865 295.526
  136 2708.46 651.526 295.397
  137 2728.46 649.361 296.226
  138 2748.46 651.079 296.15
  139 2768.46 658.875 296.189
  140 2788.46 663.43 296.804
  141 2808.46 661.764 297.245
  142 2828.46 655.783 297.77
  143 2848.46 650.045 297.981
  144 2868.46 649.18 298.159
  145 2888.46 653.115 297.729
  146 2908.46 661.244 298.26
  147 2928.46 663.181 298.346
  148 2948.46 660.605 298.396
  149 2968.46 653.692 299.106
  150 2988.46 649.335 298.96
  151 3008.46 649.492 299.386
  152 3028.46 656.018 300.57
  153 3048.46 663.094 299.816
  154 3068.46 662.923 300.13
  155 3088.46 658.858 300.831
  156 3108.46 651.337 301.024
  157 3128.46 648.719 301.241
