# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 31
  22 429.424 657.668 290.428
  23 449.424 692.332 286.245
  24 469.424 701.977 290.796
  25 489.424 648.489 293.403
  26 509.424 701.535 294.192
  27 529.424 701.186 295.738
  28 549.424 648.814 296.38
  29 569.424 702 297.97
  30 589.424 679.75 298.556
  31 609.424 47.0248 299.476
4000000 31
  1 9.42391 677.529 301.738
  2 29.4239 701.999 302.131
  3 49.4239 651.416 303.86
  4 69.4239 698.585 304.481
  5 89.4239 701.908 307.184
  6 109.424 648.11 308.394
  7 129.424 701.982 310.564
  8 149.424 694.788 315.18
  9 169.424 655.212 310.872
  10 189.424 702 307.477
  11 209.424 667.656 306.183
  12 229.424 682.344 304.106
  13 249.424 702 302.634
  14 269.424 648.738 301.364
  15 289.424 701.263 300.432
  16 309.424 701.264 299.938
  17 329.424 648.76 298.92
  18 349.424 701.976 297.364
  19 369.424 691.287 294.651
  20 389.424 658.713 293.972
  21 409.424 702 292.425
  22 429.424 657.252 290.045
  23 449.424 692.748 286.575
  24 469.424 701.978 290.445
  25 489.424 648.466 293.617
  26 509.424 701.557 295.984
  27 529.424 701.269 296.842
  28 549.424 648.731 298.358
  29 569.424 702 298.524
  30 589.424 679.463 301.185
  31 609.424 47.0082 301.848
4500000 31
  1 9.42391 677.561 300.345
  2 29.4239 701.999 301.955
  3 49.4239 651.519 302.975
  4 69.4239 698.482 304.04
  5 89.4239 701.91 304.954
  6 109.424 648.115 307.019
  7 129.424 701.975 309.988
  8 149.424 694.882 315.031
  9 169.424 655.118 311.119
  10 189.424 702 307.833
  11 209.424 667.825 306.12
  12 229.424 682.175 304.892
  13 249.424 702 303.795
  14 269.424 648.599 302.854
  15 289.424 701.401 301.635
  16 309.424 701.357 300.21
  17 329.424 648.662 298.304
  18 349.424 701.981 297.543
  19 369.424 691.065 296.729
  20 389.424 658.935 294.969
  21 409.424 702 293.983
  22 429.424 657.186 291.617
  23 449.424 692.814 287.688
  24 469.424 701.971 291.165
  25 489.424 648.504 293.485
  26 509.424 701.525 295.002
  27 529.424 701.091 296.375
  28 549.424 648.909 297.196
  29 569.424 702 297.715
  30 589.424 679.841 299.198
  31 609.424 46.5981 299.92
5000000 31
  1 9.42391 677.041 301.279
  2 29.4239 701.998 301.968
  3 49.4239 651.038 303.494
  4 69.4239 698.963 304.649
  5 89.4239 701.894 305.736
  6 109.424 648.136 307.507
  7 129.424 701.971 310.458
  8 149.424 695.702 314.653
  9 169.424 654.298 310.515
  10 189.424 702 307.459
  11 209.424 667.07 305.445
  12 229.424 682.93 304.465
  13 249.424 701.999 302.726
  14 269.424 648.662 302.184
  15 289.424 701.339 301.419
  16 309.424 701.486 300.516
  17 329.424 648.521 298.974
  18 349.424 701.994 297.606
  19 369.424 690.757 296.91
  20 389.424 659.243 294.937
  21 409.424 702 292.9
  22 429.424 657.331 291.477
  23 449.424 692.669 287.005
  24 469.424 701.98 291.14
  25 489.424 648.439 293.356
  26 509.424 701.581 294.334
  27 529.424 700.916 295.841
  28 549.424 649.085 297.063
  29 569.424 701.999 299.188
  30 589.424 680.839 300.66
  31 609.424 46.1196 300.093
