# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 51
  1 9.07979 675.631 299.303
  2 29.0798 702 300.874
  3 49.0798 651.939 301.602
  4 69.0798 698.061 303.916
  5 89.0798 701.924 304.788
  6 109.08 648.107 306.16
  7 129.08 701.969 306.178
  8 149.08 697.221 306.986
  9 169.08 652.779 308.646
  10 189.08 702 309.856
  11 209.08 668.585 311.755
  12 229.08 681.415 314.529
  13 249.08 701.995 319.015
  14 269.08 650.557 314.393
  15 289.08 699.448 311.015
  16 309.08 701.776 309.896
  17 329.08 648.261 308.649
  18 349.08 701.962 307.361
  19 369.08 696.195 305.372
  20 389.08 653.805 304.979
  21 409.08 702 303.679
  22 429.08 663.194 303.329
  23 449.08 686.806 301.935
  24 469.08 701.995 302.014
  25 489.08 649.161 301.074
  26 509.08 700.844 300.371
  27 529.08 701.601 300.006
  28 549.08 648.415 299.206
  29 569.08 701.983 297.618
  30 589.08 692.229 296.444
  31 609.08 657.771 295.259
  32 629.08 702 294.533
  33 649.08 657.751 293.522
  34 669.08 692.249 293.319
  35 689.08 701.994 291.479
  36 709.08 648.693 290.61
  37 729.08 701.313 287.502
  38 749.08 700.07 282.859
  39 769.08 649.936 286.667
  40 789.08 701.994 289.315
  41 809.08 686.633 291.407
  42 829.08 663.367 293.359
  43 849.08 702 295.068
  44 869.08 655.086 296.575
  45 889.08 694.914 296.555
  46 909.08 701.968 296.084
  47 929.08 648.218 296.54
  48 949.08 701.814 297.258
  49 969.08 699.665 298.15
  50 989.08 650.343 298.13
  51 1009.08 26.3605 298.734
1000000 51
  1 9.07979 676.823 301.14
  2 29.0798 701.999 301.931
  3 49.0798 651.23 303.006
  4 69.0798 698.771 302.818
  5 89.0798 701.896 303.843
  6 109.08 648.125 305.206
  7 129.08 701.978 306.057
  8 149.08 695.846 306.617
  9 169.08 654.154 308.58
  10 189.08 702 309.957
  11 209.08 666.745 311.268
  12 229.08 683.255 314.12
  13 249.08 701.988 318.749
  14 269.08 650.217 314.058
  15 289.08 699.796 310.914
  16 309.08 701.633 309.687
  17 329.08 648.412 309.124
  18 349.08 701.955 307.617
  19 369.08 695.155 306.175
  20 389.08 654.845 305.638
  21 409.08 702 304.869
  22 429.08 663.544 304.127
  23 449.08 686.456 302.413
  24 469.08 701.993 300.551
  25 489.08 649.684 300.116
  26 509.08 700.323 299.946
  27 529.08 701.574 299.718
  28 549.08 648.444 299.08
  29 569.08 701.982 298.015
  30 589.08 693.455 297.756
  31 609.08 656.545 296.493
  32 629.08 702 295.802
  33 649.08 659.541 294.545
  34 669.08 690.459 293.545
  35 689.08 701.994 291.807
  36 709.08 648.801 289.789
  37 729.08 701.206 287.451
  38 749.08 700.603 282.204
  39 769.08 649.406 286.162
  40 789.08 701.991 288.865
  41 809.08 687.786 290.353
  42 829.08 662.214 292.787
  43 849.08 702 293.34
  44 869.08 655.385 294.038
  45 889.08 694.615 295.92
  46 909.08 701.975 296.85
  47 929.08 648.231 297.011
  48 949.08 701.794 297.114
  49 969.08 699.724 297.884
  50 989.08 650.278 299.944
  51 1009.08 25.1754 299.486
1500000 51
  1 9.07979 675.845 299.765
  2 29.0798 701.999 301.255
  3 49.0798 651.867 302.643
  4 69.0798 698.134 303.456
  5 89.0798 701.916 304.833
  6 109.08 648.11 306.069
  7 129.08 701.974 306.672
  8 149.08 696.467 307.177
  9 169.08 653.534 308.486
  10 189.08 701.998 309.904
  11 209.08 669.339 311.881
  12 229.08 680.661 315.447
  13 249.08 701.98 319.618
  14 269.08 650.656 314.61
  15 289.08 699.364 312.721
  16 309.08 701.72 311.685
  17 329.08 648.336 310.282
  18 349.08 701.944 308.013
  19 369.08 694.945 307.512
  20 389.08 655.055 306.498
  21 409.08 702 305.245
  22 429.08 663.018 305.1
  23 449.08 686.982 303.06
  24 469.08 701.991 302.758
  25 489.08 649.252 301.125
  26 509.08 700.757 299.786
  27 529.08 701.543 298.689
  28 549.08 648.47 297.982
  29 569.08 701.987 297.448
  30 589.08 692.24 297.486
  31 609.08 657.76 296.485
  32 629.08 702 295.186
  33 649.08 658.531 294.147
  34 669.08 691.469 291.967
  35 689.08 701.981 290.799
  36 709.08 648.859 287.97
  37 729.08 701.16 286.492
  38 749.08 700.03 281.996
  39 769.08 649.975 284.931
  40 789.08 701.996 288.307
  41 809.08 687.036 290.868
  42 829.08 662.964 290.981
  43 849.08 702 292.781
  44 869.08 655.68 293.409
  45 889.08 694.32 294.511
  46 909.08 701.967 295.76
  47 929.08 648.225 296.437
  48 949.08 701.808 297.068
  49 969.08 699.612 298.858
  50 989.08 650.394 298.961
  51 1009.08 26.1485 300.632
2000000 51
  1 9.07979 675.675 300.248
  2 29.0798 702 301.903
  3 49.0798 651.632 302.496
  4 69.0798 698.368 303.126
  5 89.0798 701.919 304.377
  6 109.08 648.11 305.117
  7 129.08 701.971 305.759
  8 149.08 696.274 306.823
  9 169.08 653.726 307.274
  10 189.08 702 309.457
  11 209.08 668.566 310.889
  12 229.08 681.434 314.218
  13 249.08 701.985 318.061
  14 269.08 650.695 313.981
  15 289.08 699.32 310.561
  16 309.08 701.57 310.151
  17 329.08 648.488 308.261
  18 349.08 701.942 308.027
  19 369.08 694.305 305.908
  20 389.08 655.695 304.801
  21 409.08 702 304.58
  22 429.08 663.03 303.499
  23 449.08 686.97 302.729
  24 469.08 701.978 301.454
  25 489.08 649.265 300.814
  26 509.08 700.758 300.344
  27 529.08 701.602 299.907
  28 549.08 648.425 297.941
