# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 41
  3 49.4163 654.674 301.729
  4 69.4163 695.328 303.254
  5 89.4163 701.962 305.269
  6 109.416 648.181 306.21
  7 129.416 701.857 306.369
  8 149.416 700 308.815
  9 169.416 650.001 311.058
  10 189.416 701.998 314.65
  11 209.416 687.93 315.2
  12 229.416 662.07 310.629
  13 249.416 702 307.707
  14 269.416 665.018 305.725
  15 289.416 684.982 304.422
  16 309.416 701.994 304.33
  17 329.416 649.707 303.062
  18 349.416 700.299 301.38
  19 369.416 701.027 300.896
  20 389.416 649.141 300.015
  21 409.416 701.832 298.909
  22 429.416 695.389 298.57
  23 449.416 654.614 297.489
  24 469.416 701.997 295.405
  25 489.416 675.276 294.389
  26 509.416 674.724 293.499
  27 529.416 702 292.908
  28 549.416 651.078 291.209
  29 569.416 698.923 289.006
  30 589.416 701.908 284.602
  31 609.416 648.387 285.268
  32 629.416 701.704 289.523
  33 649.416 700.325 291.085
  34 669.416 649.684 291.941
  35 689.416 701.991 292.379
  36 709.416 684.983 293.477
  37 729.416 665.017 294.305
  38 749.416 702 296.119
  39 769.416 660.377 297.596
  40 789.416 689.624 298.905
  41 809.416 133.084 299.864
3500000 41
  1 9.41633 676.075 299.329
  2 29.4163 701.999 300.352
  3 49.4163 655.837 301.837
  4 69.4163 694.165 302.965
  5 89.4163 701.934 303.712
  6 109.416 648.51 304.409
  7 129.416 701.556 305.306
  8 149.416 699.145 306.644
  9 169.416 650.861 308.773
  10 189.416 701.994 312.894
  11 209.416 686.926 313.181
  12 229.416 663.074 308.877
  13 249.416 702 307.528
  14 269.416 662.956 306.319
  15 289.416 687.044 305.153
  16 309.416 701.998 303.816
  17 329.416 648.747 303.334
  18 349.416 701.255 302.397
  19 369.416 701.407 301.841
  20 389.416 648.68 301.51
  21 409.416 701.913 299.643
  22 429.416 695.366 298.068
  23 449.416 654.636 296.705
  24 469.416 701.997 296.153
  25 489.416 674.442 295.283
  26 509.416 675.558 294.558
  27 529.416 701.999 293.421
  28 549.416 652.712 291.86
  29 569.416 697.29 289.457
  30 589.416 701.832 286.044
  31 609.416 648.61 285.045
  32 629.416 701.558 289.231
  33 649.416 700.51 291.004
  34 669.416 649.494 292.819
  35 689.416 701.996 293.943
  36 709.416 688.105 294.278
  37 729.416 661.895 295.023
  38 749.416 702 296.787
  39 769.416 658.957 298.045
  40 789.416 691.043 299.365
  41 809.416 133.925 298.386
4000000 41
  1 9.41633 677.524 298.329
  2 29.4163 701.999 300.096
  3 49.4163 654.447 301.013
  4 69.4163 695.554 302.108
  5 89.4163 701.935 302.023
  6 109.416 648.425 304.376
  7 129.416 701.64 306.503
  8 149.416 699.21 309.148
  9 169.416 650.798 310.932
  10 189.416 701.992 314.426
